k, l, time, score, round, eps
5,3,0.44143704199996137,279,9,0.1
7,2,0.04578416700132948,685,9,0.1
7,3,0.9982577080008923,667,9,0.1
9,2,0.07637858300040534,1189,9,0.1
9,3,1.7122201250003855,1180,9,0.1
11,2,0.12533616700056882,1766,9,0.1
11,3,2.8156005829987407,1761,9,0.1
13,2,0.1925978330000362,2703,9,0.1
13,3,4.302441792000536,2562,9,0.1
4,4,3.751108624999688,176,9,0.1
7,4,15.421660625001095,667,9,0.1
10,4,35.63051954199909,1310,9,0.1
13,4,69.8097437919987,2568,9,0.1
3,2,0.00386087500010035,81,9,0.3
3,3,0.07438495899987174,78,9,0.3
5,2,0.01579400000082387,299,9,0.3
5,3,0.3219709999993938,283,9,0.3
7,2,0.0340831249995972,685,9,0.3
7,3,0.7549048750006477,667,9,0.3
9,2,0.05700770800103783,1189,9,0.3
9,3,1.3414324589994067,1169,9,0.3
11,2,0.11165133400027116,1766,9,0.3
11,3,2.4140768329998537,1761,9,0.3
13,2,0.15648141599922383,2703,9,0.3
13,3,3.2108526670017454,2604,9,0.3
4,4,2.6235682500009716,176,9,0.3
7,4,11.620966208000027,655,9,0.3
10,4,27.454608374999225,1310,9,0.3
13,4,47.5373437499984,2580,9,0.3
3,2,0.0029590000012831297,81,9,0.6
3,3,0.051104707999911625,78,9,0.6
5,2,0.011757750000469969,299,9,0.6
5,3,0.24601158299992676,279,9,0.6
7,2,0.0269642080002086,685,9,0.6
7,3,0.5868594589992426,668,9,0.6
9,2,0.04522095799984527,1189,9,0.6
9,3,1.0025804169999901,1175,9,0.6
11,2,0.07785191599941754,1766,9,0.6
11,3,1.742837249999866,1759,9,0.6
13,2,0.11004641700128559,2703,9,0.6
13,3,2.465465707999101,2547,9,0.6
4,4,1.9438127079993137,176,9,0.6
7,4,9.080362958000478,636,9,0.6
10,4,22.116919416999735,1296,9,0.6
13,4,38.58049904199834,2559,9,0.6
3,2,0.0021514580002985895,81,9,0.9
3,3,0.03915591700024379,78,9,0.9
5,2,0.00748116700015089,299,9,0.9
5,3,0.16468395799893187,283,9,0.9
7,2,0.02164279199860175,685,9,0.9
7,3,0.42707570899983693,668,9,0.9
9,2,0.039929500000653206,1189,9,0.9
9,3,0.8607387079991895,1172,9,0.9
11,2,0.06828350000068895,1766,9,0.9
11,3,1.53048200000012,1766,9,0.9
